ticker,market_cap,exchange,quote_type,price,avg_volume,avg_volume_10d,sector,industry,name,dollar_volume,pass_market_cap,pass_price,pass_volume,pass_exchange,pass_quote_type,pass_all
MOD,8419032576,NYQ,EQUITY,159.91,978442,1081060,Consumer Cyclical,Auto Parts,Modine Manufacturing Company,172872304.6,True,True,True,True,True,True
MTCH,8152278528,NMS,EQUITY,33.88,3914468,3308660,Communication Services,Internet Content & Information,"Match Group, Inc.",132622175.84,True,True,True,True,True,True
NET,71509893120,NYQ,EQUITY,204.15,2728201,2753910,Technology,Software - Infrastructure,"Cloudflare, Inc.",562210726.5,False,True,True,True,True,False
NU,85524406272,NYQ,EQUITY,17.65,40413100,41610740,Financial Services,Banks - Regional,Nu Holdings Ltd.,734429561.0,False,True,True,True,True,False
OKTA,15224076288,NMS,EQUITY,85.9,2470250,3676720,Technology,Software - Infrastructure,"Okta, Inc.",315830248.0,False,True,True,True,True,False
OMCL,1819455744,NMS,EQUITY,39.61,429076,414460,Healthcare,Health Information Services,"Omnicell, Inc.",16995700.36,True,True,True,True,True,True
ONB,8757222400,NMS,EQUITY,22.41,4213200,2660620,Financial Services,Banks - Regional,Old National Bancorp,94417812.0,True,True,True,True,True,True
OZK,5250427392,NMS,EQUITY,46.93,1163330,1035100,Financial Services,Banks - Regional,Bank OZK,54595076.9,True,True,True,True,True,True
PATH,9887517696,NYQ,EQUITY,18.48,23443765,16456800,Technology,Software - Infrastructure,UiPath Inc.,433240777.2,True,True,True,True,True,True
PCOR,11938530304,NYQ,EQUITY,76.79,1372934,1205420,Technology,Software - Application,"Procore Technologies, Inc.",105427601.86000001,False,True,True,True,True,False
PCTY,7956029440,NMS,EQUITY,146.3,633107,538710,Technology,Software - Application,Paylocity Holding Corporation,92623554.10000001,True,True,True,True,True,True
PINS,18514485248,NYQ,EQUITY,27.23,12985703,10858070,Communication Services,Internet Content & Information,"Pinterest, Inc.",353600692.69,False,True,True,True,True,False
PLAB,1444815360,NMS,EQUITY,24.02,759095,799320,Technology,Semiconductor Equipment & Materials,"Photronics, Inc.",19199666.4,True,True,True,True,True,True
PNFP,7398371328,NMS,EQUITY,95.37,1073303,828660,Financial Services,Banks - Regional,"Pinnacle Financial Partners, Inc.",102360907.11,True,True,True,True,True,True
POWI,2051976576,NMS,EQUITY,36.58,1114652,786880,Technology,Semiconductors,"Power Integrations, Inc.",40773970.16,True,True,True,True,True,True
PTON,2740810496,NMS,EQUITY,6.56,12078277,8808770,Consumer Cyclical,Leisure,"Peloton Interactive, Inc.",79233497.11999999,True,True,True,True,True,True
PUMP,1155241984,NYQ,EQUITY,11.11,3605573,2335810,Energy,Oil & Gas Equipment & Services,ProPetro Holding Corp.,40057916.03,True,True,True,True,True,True
RAMP,1886155648,NYQ,EQUITY,28.75,593933,566230,Technology,Software - Infrastructure,"LiveRamp Holdings, Inc.",17075573.75,True,True,True,True,True,True
RBLX,66830327808,NYQ,EQUITY,95.21,7475888,8427220,Communication Services,Electronic Gaming & Multimedia,Roblox Corporation,802355616.1999999,False,True,True,True,True,False
RDFN,0,,NONE,0.0,0,0,,,,0.0,False,False,False,False,False,False
RIVN,22139990016,NMS,EQUITY,18.06,48347325,37411050,Consumer Cyclical,Auto Manufacturers,"Rivian Automotive, Inc.",873152689.4999999,False,True,True,True,True,False
ROKU,13968452608,NMS,EQUITY,94.54,3186777,2560370,Communication Services,Entertainment,"Roku, Inc.",301277897.58000004,False,True,True,True,True,False
RYAN,14848229376,NYQ,EQUITY,56.15,1630931,1026500,Financial Services,Insurance - Specialty,"Ryan Specialty Holdings, Inc.",91576775.64999999,False,True,True,True,True,False
S,5687681024,NYQ,EQUITY,16.97,5500309,6251110,Technology,Software - Infrastructure,"SentinelOne, Inc.",106081336.69999999,True,True,True,True,True,True
SFNC,2719243776,NMS,EQUITY,18.79,1050971,1040120,Financial Services,Banks - Regional,Simmons First National Corporation,19747745.09,True,True,True,True,True,True
SNOW,79540076544,NYQ,EQUITY,234.77,4373773,4899740,Technology,Software - Application,Snowflake Inc.,1150311959.8,False,True,True,True,True,False
SOFI,35694731264,NMS,EQUITY,29.6,72258003,61404570,Financial Services,Credit Services,"SoFi Technologies, Inc.",2138836888.8000002,False,True,True,True,True,False
SPOT,115500359680,NYQ,EQUITY,560.97,1692238,2205770,Communication Services,Internet Content & Information,Spotify Technology S.A.,1237370796.9,False,True,True,True,True,False
SPSC,3170309888,NMS,EQUITY,83.63,500588,420700,Technology,Software - Application,"SPS Commerce, Inc.",41864174.44,True,True,True,True,True,True
SSD,7034988032,NYQ,EQUITY,169.04,290042,347540,Basic Materials,Lumber & Wood Production,"Simpson Manufacturing Co., Inc.",58748161.599999994,True,True,True,True,True,True
SUMO,0,,NONE,0.0,0,0,,,,0.0,False,False,False,False,False,False
TCBI,4298238464,NMS,EQUITY,93.94,472601,438200,Financial Services,Banks - Regional,"Texas Capital Bancshares, Inc.",44396137.94,True,True,True,True,True,True
TILE,1623259136,NMS,EQUITY,27.8,452949,344030,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Interface, Inc.",12591982.200000001,True,True,True,True,True,True
TOST,20697600000,NYQ,EQUITY,35.2,8556080,8732230,Technology,Software - Infrastructure,"Toast, Inc.",307374496.0,False,True,True,True,True,False
UMBF,8801625088,NMS,EQUITY,115.88,464866,395130,Financial Services,Banks - Regional,UMB Financial Corporation,53868672.08,True,True,True,True,True,True
UPST,4585112064,NMS,EQUITY,47.13,7136522,4616290,Financial Services,Credit Services,"Upstart Holdings, Inc.",336344281.86,True,True,True,True,True,True
WING,7340876288,NMS,EQUITY,262.89,923960,795160,Consumer Cyclical,Restaurants,Wingstop Inc.,242899844.39999998,True,True,True,True,True,True
WTFC,9142233088,NMS,EQUITY,136.51,453509,441780,Financial Services,Banks - Regional,Wintrust Financial Corporation,61908513.589999996,True,True,True,True,True,True
WYNN,13071929344,NMS,EQUITY,125.72,1690095,1741080,Consumer Cyclical,Resorts & Casinos,"Wynn Resorts, Limited",218888577.6,False,True,True,True,True,False
YELP,1889927808,NYQ,EQUITY,29.97,921403,1249900,Communication Services,Internet Content & Information,Yelp Inc.,37459503.0,True,True,True,True,True,True
ZM,25912475648,NMS,EQUITY,86.58,2956328,4590310,Technology,Software - Application,Zoom Communications Inc.,397429039.8,False,True,True,True,True,False
ZS,38568112128,NMS,EQUITY,241.85,1641398,3160370,Technology,Software - Infrastructure,"Zscaler, Inc.",764335484.5,False,True,True,True,True,False
